Disclosure To/For,IRC Section 6103 subsection,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Tax Checks,(c),"5,866","5,785","6,987","7,700","9,433","8,920","11,106","11,183","11,118","9,653","9,981","8,758","8,484","11,001","10,989","10,275","10,196","9,293","9,300","10,429","9,045","11,699","12,265","10,457","10,538","8,780"
State Tax Agencies,(d),"887,815","855,556","770,809","652,297","125,286","29,710","480,421","1,146,560","27,644,833","30,310,819","42,959,095","58,092,116","18,545,748","73,905,175","77,512,392","88,975,716","102,231,434","437,939,000","568,496,112","148,411,197","201,955,440","303,018,308","225,680,886","278,209,044","285,138,538","364,755,579"
"GAO, as Agent to Congressional Committees including GAO",(f),"41,498","5,220","1,395","10,931","2,158","4,648",,"1,903","149,235,637",,26,,,,,,,,"10,595,383,081",,,,,,,
President and Head of Agencies,(g),0,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Justice ,(h)(2),,,,,,,,,,,,,,,,,,,135,,,,,,,
Department of Justice ,(h)(3)(B),25,92,,,48,61,31,10,6,17,,,,,,,,,,,,,,61,1,
Prospective Jurors,(h)(5),"2,286","2,720","4,281","2,496","1,179",138,,,,,,,,,,,,,,,,,,,,
Federal Agencies: US Attorneys,(i)(1),"42,375","42,307","42,371","13,212","45,040","39,760","1,313","40,235","50,791","36,188","53,949","31,976","41,416","47,275","42,283","40,686","36,483","54,194","33,923","26,421","26,643",,"23,248","17,330","21,381","9,997"
Federal Agencies: DEA,(i)(1),,,77,"3,084","4,863",767,668,337,503,158,656,548,12,48,63,146,0,0,,,,,,,,
Federal Agencies: FBI,(i)(1),617,617,617,"4,526","4,800","2,845","2,300","1,108",589,240,602,230,85,214,70,659,275,27,,,,"26,010",,,,
Federal Agencies: SBA,(i)(1),,,800,,,,,,,,,,,,,,,,,,,,,,,
Federal Agencies: other,(i)(1),"2,250","1,910",824,"2,036","2,661","4,175","2,140","1,919","5,966","1,708","1,427",951,423,672,622,833,45,95,,,,,,,,
Federal Agencies: US Attorneys,(i)(2),193,30,30,184,126,131,162,269,455,421,906,973,"1,200","1,271","2,609","2,163",568,419,173,112,128,134,349,343,796,"13,791"
Federal Agencies: Secret Service,(i)(2),73,73,73,,,,,245,,,,,,,,,,,,,,,,,,
Federal Agencies: DEA,(i)(2),,,,30,,,,,,,,,,,,,,,,,,,,,,
Federal Agencies: Customs,(i)(2),,,,6,,,,,,,,,,,,,,,,,,,,,,
Federal Agencies: FTC,(i)(2),,,,2,,,,,,,,,,,,,,,,,,,,,,
Federal Agencies: Department of Justice,(i)(3),38,18,18,36,,,,,,,,,,,,,,,,,,,,,,
Federal Agencies: Social Security Administration,(i)(3),11,11,11,,,,,,,,,,,,,,,,,,,,,,,
Federal Agencies: FBI,(i)(3),,,,2,25,1,"4,724",,,,,,,,,,,,,,,,,,,
Federal Agencies: labor,(i)(3),,,,,8,,,,,,,,,,,,,,,,,,,,,
Federal Agencies: INS,(i)(3),,,,,,3,,,,,,,,,,,,,,,,,,,,
Federal Agencies: ATF,(i)(3),,,,,21,,,,,,,,,,,,,,,,,,,,,
Federal Agencies: other,(i)(3),15,15,15,63,18,23,,,,,,,,,,,,,,,,,,,,
FBI,(i)(3)(A),,,,,,,,92,,,,,72,31,37,19,60,17,9,1,,,,,,
Other,(i)(3)(A),,,,,,,,55,22,276,24,104,,,,,,,,,1,,,,,4
FBI,(i)(3)(B),,,,,,,,"12,236",104,14,51,10,6,4,36,,0,,117,8,77,345,65,19,24,
Other ,(i)(3)(B),,,,,,,,,11,,,,,,,,,,,,,,,,,
FBI,(i)(3)(C)(i),,,,,,,,39,,,,,,,,,,,,,,,,,,
US Attorneys,(i)(3)(C)(ii),,,,,,,,25,,,,,,,,,,,,,,,,,,
Other,(i)(3)(C),,,,,,,,,"1,626",883,334,48,1,,,,0,3,,,,,,,,
Federal Agencies,(i)(5),2,3,9,1,,,,,,,,,,,,,,,,,,,,,,
General Accounting Office,(i)(7),"3,250","393,690","11,077","2,297","2,558","6,026",951,,,,,,,,,,,,,,,,,,,
Other,(i)(7)(A),,,,,,,,,,,95,686,26,,5,18,21,,25,,,,,,,
Other,(i)(7)(B),,,,,,,,,,,,26,0,,,,,,,,,,,,,
US Attorneys,(i)(7)(C),,,,,,,,"2,215","1,724","3,992","1,366",908,22,,,,,,,,,,,,,
General Accounting Office,(i)(8),0,,,,,,,"3,006","2,809,898",,,,,,,,,,,,,,,,,
Government Accountability Office,(i)(8),,,,,,,,,,835,"3,555","60,676","2,336","3,030","90,673","2,406","4,059","3,152","1,434","2,162","3,237","2,990","2,562","1,588","2,246","13,246,868"
Bureau of Census ,(j)(1)(A) ,0,,,,,,"53,860,222",,,,,,,,,,,,"2,362,722","2,662,110",0,0,"682,428",0,0,
Bureau of Economic Analysis ,(j)(1)(B) ,0,,,,,,,"138,574","139,096","137,939",,,,,,,,,,374,371,362,379,410,408,"122,222"
Treasury Office of Economic Policy ,(j)(3) ,0,,,,,,,,,,,,,,,,,,"4,691,923","4,808,733","3,617,545","4,860,519","4,918,671","5,032,485","5,088,384","5,142,247"
Department of Agriculture ,(j)(5) ,0,,,,,,,,,,,,,,,,,,,,0,0,0,,,
Congressional Budget Office ,(j)(6) ,0,,,,,,"9,500,000",,,,,,,,,,,,"4,691,923",,"255,783,660","4,860,519","4,918,671",,"5,088,384","5,142,247"
Federal Agencies,(k)(3) ,,,,,,10,,,,,,,,,,,,,,,,,,,,
Foreign Countries Tax Treaty Authority,(k)(4) ,"991,090","1,152,178","213,641","220,820","4,654","76,861","4,545","155,455",,,"2,701",153,"1,429,499","1,904,022","2,809,340","2,482,998","1,074,561","710,574","3,479","2,557","2,746","2,451","3,786","2,780","11,002","4,027"
Bureau of Prisons (Federal and State) ,(k)(10) ,0,,,,,,,,,,,,,,,,,,,,64,,,,,
Department of State,(k)(11) ,0,,,,,,,,,,,,,,,,,,,,,,,,"270,574","161,481"
Whistleblower Office,(k)(13) ,0,,,,,,,,,,,,,,,,,,,,,,,,"1,453","2,088"
Information Sharing and Assistance Center (ISAC),(k)(14) ,0,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Agencies: Department of Labour,(l)(2),644,472,553,"3,138",669,400,"1,171",,572,342,304,574,499,961,"1,070","1,781","1,729","1,341","1,723","1,885","1,630",505,343,2,77,670
Federal Agencies: Pension Benefit Guaranty Corp.,(l)(2),"6,667",804,804,"225,201","1,483","1,061",,797,479,324,160,257,,,,,,,,,,,,,,
Federal Agencies: Various,(l)(3),"5,706",985,10,,64,16,53,94,143,223,286,253,306,216,282,384,122,7,1,,,,,,,
Department of Treasury Employees,(l)(4)(A),"4,672","1,217","4,664","5,730",15,3,11,3,73,59,14,23,415,271,639,515,668,132,170,57,82,47,4,,2,2
Child Support Enforcement Agencies,(l)(6),,,,726,"4,062,479","1,034",,,,,,,,,,,,,,,,,,,,
Department of Education,(l)(13),0,,,,,,,,,,,,,,,,,,,,,,,,,
Medicare Premium Subsidy Adjustment,(l)(20),0,,,,,,,,,,,,,,,,,,,,,,,,,
Affordable Care Act,(l)(21),0,,,,,,,,,,,,,,,,,,,,,,,,,
States - IRC Section 6104(c) ,,0,,,,,,,,,,,,,,334,66,60,152,"11,793","29,263","16,837","19,934","19,444","19,295","18,415","15,024"
Subtitle E Taxes,(o)(1),47,47,39,,,13,,,,,,,,,,,,,,,,,,,,
TOTALS,,"1,995,140","2,463,750","1,059,105","1,154,518","203,119","176,606",,,"179,903,646","30,504,091","43,035,532","58,199,270","20,020,550","75,874,191","80,471,110","91,518,665","103,360,281","438,718,406","11,175,688,043","155,955,309","461,417,506","312,803,823","236,263,101","283,293,814","295,652,223","388,625,027"
SUM,,"1,995,140","2,463,750","1,059,105","1,154,518","4,267,588","176,606","63,869,818","1,516,360","179,903,646","30,504,091","43,035,532","58,199,270","20,030,550","75,874,191","80,471,444","91,518,665","103,360,281","438,718,406","11,175,688,043","155,955,309","461,417,506","312,803,823","236,263,101","283,293,814","295,652,223","388,625,027"
