Disclosure To/For,IRC Section 6103 subsection,"1,995","1,996","1,997","1,998","1,999","2,000","2,001","2,002","2,003","2,004","2,005","2,006","2,007","2,008","2,009","2,010","2,011","2,012","2,013","2,014","2,015","2,016",2017,2018,2019,2020
Tax Checks,(c),"5,866","5,785","6,987","7,700","9,433","8,920","11,106","11,183","11,118","9,653","9,981","8,758","8,484","11,001","10,989","10,275","10,196","9,293","9,300","10,429","9,045","11,699","12,265","10,457","10,538","8,780"
State Tax Agencies,(d),"1,377,384,198","1,347,557,443","1,815,631,731","1,794,885,914","21,147,391,978","2,048,234,676","1,968,478,600","5,248,251,124","2,430,943,771","3,279,861,474","3,154,655,451","2,809,446,617","3,056,204,124","3,256,832,520","4,846,131,877","4,201,589,567","6,911,498,559","4,537,222,749","7,311,572,917","7,899,153,831","7,638,223,796","10,571,553,702","9,240,829,423","9,817,036,170","10,302,045,083","12,129,020,936"
"GAO, as Agent to Congressional Committees including GAO",(f),"750,742","312,583,740","335,616,665","169,443,648","137,444,272","146,131,527",,"154,258,922","149,235,637","168,450,887","167,053,151","306,054,977","232,647,366","260,592,773","1,326,054,627","1,490,752,634","700,703,056","2,388,480,283","10,595,383,081","64,569,982",,,"92,031,674","1,367,625,416","23,390,895",
"GEO, as Agent to Congressional Committees",(f),,,,,,,,,,,,,,,,,,,,"87,981,982",,,,,,
Joint Committee on Taxation,(f),,,,,,,,,,,,,,,,,,,,,,,"59,774,930","71,625,560","59,942,903","79,620,488"
Congressional Committees,(f)(4),,,,,,,,,,,,,,,,,,,,,"70,870,969","59,726,181",,,,
"GAO, as Agent to Congressional Committees",(f)(4),,,,,,,,,,,,,,,,,,,,,"340,194,901","199,263,466",,,,"2,806,928"
President and Head of Agencies,(g),,,,,,,,,,,,,,,,,,0,,,,0,,,,
Department of Justice ,(h)(2),,,,,,,,,,,,,,,,,,,135,,,,,,,
Department of Justice ,(h)(3)(B),25,92,,,48,61,31,10,6,17,,,,,,,,,,,,0,,61,1,
Prospective Jurors,(h)(5),"2,286","2,720","4,281","2,496","1,179",138,,,,,,,,,,,,,,,,,,,,
Federal Agencies,(i)(1),"45,242","44,834","44,689","22,858","55,374","47,547","6,421","43,599","57,849",,,,,,,,,,,,,,,,,
US Attorneys,(i)(1),,,,,,,,,,"36,188","53,949","31,976","41,416","47,275","42,283","40,686","36,483","54,194","33,923","26,421","26,643","26,010","23,248","17,330","21,381","9,997"
DEA,(i)(1),,,,,,,,,,158,656,548,12,48,63,146,0,0,,,,,,,,
FBI,(i)(1),,,,,,,,,,240,602,230,85,214,70,659,275,27,,,,,,,,
Other,(i)(1),,,,,,,,,,"1,708","1,427",951,423,672,622,833,45,95,,,,,,,,
Federal Agencies,(i)(2),266,103,103,222,126,131,162,514,455,421,906,973,"1,200","1,271","2,609","2,163",568,419,173,112,128,134,349,343,796,"13,791"
Federal Agencies,(i)(3),64,44,44,101,72,27,"4,724",,"1,763",,,,,,,,,,,,,,,,,
FBI,(i)(3)(A),,,,,,,,147,,,,,72,31,37,19,60,17,9,1,0,,,,,
Other,(i)(3)(A),,,,,,,,,,276,24,104,,,36,,,,,,1,,,,,4
FBI,(i)(3)(B),,,,,,,,"12,236",,14,51,10,6,4,,0,0,,117,8,77,345,65,19,24,
FBI,(i)(3)(C)(i),,,,,,,,39,,,,,,,,,,,,,,,,,,
US Attorneys,(i)(3)(C)(ii),,,,,,,,25,,,,,,,,,,,,,,,,,,
Other,(i)(3)(C),,,,,,,,,,883,334,48,1,,,0,0,3,,,,,,,,
Federal Agencies,(i)(5),2,3,9,1,,,,,,,,,,,,,,,,,,,,,,
General Accounting Office,(i)(7),"941,061,148","340,618,234","862,068,520","167,539,504","162,420,411","162,775,479","7,518,327",,,,,,,,,,,,,,,,,,,
Other,(i)(7)(A),,,,,,,,,,,95,686,26,,5,18,21,,25,,,,,,,
Other,(i)(7)(B),,,,,,,,,,,,26,0,,0,,,,,,,,,,,
US Attorneys,(i)(7)(C),,,,,,,,"2,215","1,724","3,992","1,366",908,22,,0,,,,,,,,,,,
General Accounting Office ,(i)(8),,,,,,,,"221,573","2,809,898",,,,,"3,030",,,,"3,152",,,,,,,,
Government Accountability Office,(i)(8),,,,,,,,,,"75,985,596","3,555","60,676","2,336",,"90,673","2,406","4,059",,"1,434","2,162","3,237","2,990","2,562","1,588","2,246","13,246,868"
Department of Commerce,(j)(1),"171,994,653","282,372,442","173,566,868","414,624,866","976,676,702","983,916,764","1,052,855,111","1,207,510,260","1,147,490,191",,,,,,,,,,,,,,,,,
